date,open,high,low,close,adj_close,volume,commodity,ticker,front_month_price,ret_1d,logret_1d,hl_range,oc_range,vol_10d,vol_20d,atr_14d,target_price_t_plus_14
2015-01-02,165.0500030517578,167.25,160.1999969482422,161.0500030517578,161.0500030517578,10303,coffee,KC=F,161.0500030517578,,,0.04377524320500697,-0.024837006669999818,,,,171.0
2015-01-05,160.9499969482422,168.64999389648438,160.10000610351562,168.10000610351562,168.10000610351562,15174,coffee,KC=F,168.10000610351562,0.04377524320500692,0.042844181997066855,0.050862507332115656,0.042534258748750296,,,,
2015-01-06,168.0500030517578,175.39999389648438,168.0500030517578,174.89999389648438,174.89999389648438,18841,coffee,KC=F,174.89999389648438,0.04045203775174966,0.03965527040397543,0.04202396284288437,0.03916518629943905,,,,164.3000030517578
2015-01-07,175.60000610351562,182.8500061035156,173.0,175.0500030517578,175.0500030517578,28145,coffee,KC=F,175.0500030517578,0.0008576853087955971,0.0008573177069273186,0.05626967113278599,-0.00314197681901891,,,,161.25
2015-01-08,175.8000030517578,182.3500061035156,174.3000030517578,176.89999389648438,176.89999389648438,24253,coffee,KC=F,176.89999389648438,0.010568356540842538,0.010512901828797716,0.04550595437820287,0.00621815083481709,,,,159.9499969482422
2015-01-09,177.75,183.8500061035156,177.75,180.0500030517578,180.0500030517578,23853,coffee,KC=F,180.0500030517578,0.017806722803601183,0.017650040381278487,0.03387951124756197,0.012774246113712341,,,,162.4499969482422
2015-01-12,181.25,184.8999938964844,175.3000030517578,176.75,176.75,24706,coffee,KC=F,176.75,-0.018328258793803953,-0.018498302267703437,0.05431395103098496,-0.02545968882602546,,,,161.85000610351562
2015-01-13,177.0,178.89999389648438,173.85000610351562,176.9499969482422,176.9499969482422,20266,coffee,KC=F,176.9499969482422,0.001131524459644595,0.001130884768348217,0.028539066855400228,-0.00028258294783943045,,,,168.1999969482422
2015-01-14,178.25,184.8000030517578,177.60000610351562,179.85000610351562,179.85000610351562,21024,coffee,KC=F,179.85000610351562,0.016388862420391392,0.01625601453330283,0.04003334280732863,0.008896336109072553,,,,167.6999969482422
2015-01-15,180.0,182.8500061035156,175.1999969482422,176.64999389648438,176.64999389648438,16653,coffee,KC=F,176.64999389648438,-0.017792672218145067,-0.017952864824641424,0.043306025585012245,-0.01896408841926541,,,,160.0
2015-01-16,177.5,177.60000610351562,170.39999389648438,171.0,171.0,0,coffee,KC=F,171.0,-0.031984116001697815,-0.03250678275103169,0.042105334544042396,-0.038011695906432746,0.024626725764219197,,,161.89999389648438
2015-01-20,170.10000610351562,172.5,163.85000610351562,164.3000030517578,164.3000030517578,22641,coffee,KC=F,164.3000030517578,-0.039181268703170735,-0.03996951288513628,0.052647557734733896,-0.03530129606833114,0.024781986865588166,,,160.75
2015-01-21,166.0500030517578,166.85000610351562,161.0,161.25,161.25,15775,coffee,KC=F,161.25,-0.01856362139443779,-0.018738087941642334,0.03627910761870155,-0.029767460786094962,0.020270081076735162,,,164.89999389648438
2015-01-22,161.39999389648438,163.5500030517578,159.6999969482422,159.9499969482422,159.9499969482422,15419,coffee,KC=F,159.9499969482422,-0.008062034429505816,-0.008094708359803526,0.024070060499978868,-0.009065314010048954,0.02002547174293441,,,164.75
2015-01-23,160.6999969482422,162.85000610351562,159.39999389648438,162.4499969482422,162.4499969482422,13046,coffee,KC=F,162.4499969482422,0.015629884637065494,0.015508996013203102,0.02123737932805533,0.010772545600955372,0.020620452015673852,,7.135716029575887,166.85000610351562
2015-01-26,162.1999969482422,165.25,160.75,161.85000610351562,161.85000610351562,15426,coffee,KC=F,161.85000610351562,-0.0036933878485557736,-0.0037002252460887064,0.027803520730928493,-0.002162439490442257,0.018617620212717186,,6.846431187220976,167.60000610351562
2015-01-27,162.3000030517578,168.5,161.6999969482422,168.1999969482422,168.1999969482422,15054,coffee,KC=F,168.1999969482422,0.03923380046501368,0.0384837113120291,0.04042808070829087,0.03507725329091354,0.0239167743898295,,6.807146344866065,159.39999389648438
2015-01-28,167.0500030517578,169.89999389648438,165.60000610351562,167.6999969482422,167.6999969482422,15809,coffee,KC=F,167.6999969482422,-0.002972651659166492,-0.00297707876377995,0.025640953316748538,0.003875932667339194,0.023835707932509737,,6.410716465541291,159.4499969482422
2015-01-29,167.89999389648438,167.9499969482422,158.6999969482422,160.0,160.0,20270,coffee,KC=F,160.0,-0.045915307622925394,-0.04700283539761507,0.0578125,-0.049374961853027345,0.025774295383140303,,6.496430533272878,164.5500030517578
2015-01-30,160.10000610351562,162.25,159.1999969482422,161.89999389648438,161.89999389648438,13091,coffee,KC=F,161.89999389648438,0.011874961853027388,0.011805007750468555,0.018838808936014684,0.011117899078610381,0.026673668829073526,,6.217858450753348,163.1999969482422
2015-02-02,162.39999389648438,163.64999389648438,159.6999969482422,162.4499969482422,162.4499969482422,19460,coffee,KC=F,162.4499969482422,0.003397177717680888,0.0033914203449860736,0.02431515557061344,0.0003078058029988382,0.02550666130786411,0.025060271962649133,5.814287458147319,
2015-02-03,162.8000030517578,163.39999389648438,158.39999389648438,160.75,160.75,18992,coffee,KC=F,160.75,-0.01046473979795648,-0.010519880211552035,0.03110419906687403,-0.012752740601914852,0.022567921232752964,0.02306874581267071,5.810716901506694,155.64999389648438
2015-02-04,161.5500030517578,167.0,160.14999389648438,164.89999389648438,164.89999389648438,14625,coffee,KC=F,164.89999389648438,0.02581644725651233,0.025488829434387128,0.04154036602218252,0.02031528786368247,0.023285612662491323,0.021902827084343244,5.739288330078123,152.8000030517578
2015-02-05,164.4499969482422,166.39999389648438,163.3000030517578,164.75,164.75,14351,coffee,KC=F,164.75,-0.0009096052276298394,-0.0009100191694999538,0.018816332896671093,0.0018209593429912747,0.023040920962459875,0.021890246080129707,5.414287022181919,149.1999969482422
2015-02-06,165.4499969482422,169.75,165.0500030517578,166.85000610351562,166.85000610351562,26741,coffee,KC=F,166.85000610351562,0.01274662278309946,0.01266606839562101,0.02816899476363373,0.008390824717170559,0.02288585286306286,0.021965533182050773,5.257143293108259,148.64999389648438
2015-02-09,166.5,168.10000610351562,163.8000030517578,167.60000610351562,167.60000610351562,21374,coffee,KC=F,167.60000610351562,0.004495055274584159,0.004484982686902228,0.02565634185658669,0.0065632820015306135,0.022778728033712458,0.02150903357935487,4.9464296613420755,144.4499969482422
2015-02-10,167.0500030517578,169.25,158.8000030517578,159.39999389648438,159.39999389648438,35586,coffee,KC=F,159.39999389648438,-0.048926085372375416,-0.050163496399587615,0.06555832715419362,-0.04799253104263865,0.024806630188902914,0.02371685160346508,5.275000435965402,145.35000610351562
2015-02-11,160.3000030517578,161.35000610351562,159.0,159.4499969482422,159.4499969482422,29198,coffee,KC=F,159.4499969482422,0.0003136954433655692,0.0003136462512367544,0.0147382009939984,-0.0053308630905244785,0.024863715954858867,0.02370613328982146,5.167857578822544,139.75
2015-02-12,160.0500030517578,164.9499969482422,159.3000030517578,164.5500030517578,164.5500030517578,26680,coffee,KC=F,164.5500030517578,0.03198498715036724,0.03148411961864195,0.034336030335455035,0.027347310340581174,0.02241447276921657,0.02465724193024409,5.324999128069196,136.5500030517578
2015-02-13,164.60000610351562,165.85000610351562,162.14999389648438,163.1999969482422,163.1999969482422,16137,coffee,KC=F,163.1999969482422,-0.008204230194337914,-0.008238070104920503,0.022671643849384904,-0.00857848763145162,0.022416305328036068,0.024472139455573732,5.267857142857143,136.75
2015-02-17,164.0,165.75,154.5,155.64999389648438,155.64999389648438,16982,coffee,KC=F,155.64999389648438,-0.04626227446653841,-0.04736656615597212,0.07227754861000416,-0.053646041959171734,0.027035075287659267,0.025584746838027687,5.585714067731585,126.25
2015-02-18,156.14999389648438,157.85000610351562,152.0500030517578,152.8000030517578,152.8000030517578,17405,coffee,KC=F,152.8000030517578,-0.018310253494914774,-0.01847996096988158,0.03795813439737421,-0.021924023415050738,0.027354640530317213,0.02445186494236079,5.692858014787946,134.0500030517578
2015-02-19,152.60000610351562,153.85000610351562,149.39999389648438,149.1999969482422,149.1999969482422,707,coffee,KC=F,149.1999969482422,-0.023560248898006897,-0.02384222938913716,0.029825819692040404,-0.022788265581888102,0.025624390516966095,0.024643752135051558,5.350001743861607,131.5500030517578
2015-02-20,150.1999969482422,151.35000610351562,147.0,148.64999389648438,148.64999389648438,406,coffee,KC=F,148.64999389648438,-0.0036863476072899193,-0.0036931589310542634,0.029263412594183122,-0.010427198892703557,0.025529568325513907,0.02462381002756737,5.4428591047014505,136.5
